Country/Region,United Kingdom,France,United States,Iran,Chile,South Korea,Ecuador,Germany,Spain,Mexico,Netherlands,Australia,Austria,Canada,India,Ireland,Singapore,Switzerland,Japan,Italy,China
Netherlands,358.40050051031875,430.4694357201537,5875.697025989954,4071.610920951623,11989.550484922353,8578.467015221691,9577.701711194033,577.5253028265709,1481.9615726734353,9229.670636352748,0.0,7041.761155012303,938.5242205793769,5514.486225394316,6368.497885731108,758.2624397274243,10495.190770466836,630.8488661475379,9399.021662847661,830.8458301067011,8557.602478681049
Australia,6856.389491882522,7187.281568226093,2514.0100109274954,10450.934323330219,9590.369869557971,9287.350764222763,5862.648812826178,7423.9271516774015,7497.638641729331,3170.1961407419813,7041.761155012303,0.0,7929.583524726668,2337.7697202866852,11549.402699752129,6405.0862670558245,13931.558974742165,7604.615846145461,8909.150105683315,7833.484136589102,10520.961541491772
Austria,1238.8047757673298,1036.5387663239983,6811.983389277665,3182.82140290683,12487.918799943793,8295.654359182752,10389.03442314273,524.0811741028135,1813.022482756459,10167.547554806359,938.5242205793769,7929.583524726668,0.0,6452.997231010198,5574.3830660855565,1686.9972378303632,9707.99421557027,685.1875194042585,9226.444091160876,579.1824952412283,8081.448480502912
Canada,5239.25370566888,5524.168543854022,530.4249816013355,9458.432758668503,8746.60881156465,10576.704788573015,5086.6044671782865,6018.336256404912,5549.659235591258,3723.2591990057285,5514.486225394316,2337.7697202866852,6452.997231010198,0.0,11284.59608427494,4776.849508344466,14807.53276720281,5960.383549700095,10524.29818346962,6189.691820253164,11539.867110702662
India,6723.54936367021,6598.772592540651,11774.293014724122,2548.6776731055775,16924.387351472666,4696.298806078745,15945.984801417759,5791.013504658763,7287.901179832169,14673.443244841117,6368.497885731108,11549.402699752129,5574.3830660855565,11284.59608427494,0.0,7091.013282629459,4134.713249648732,6252.836560463562,5845.712947010928,6093.586889319174,3584.02176015641
Ireland,464.59160196173207,782.4532598639842,5125.9759790537955,4827.942772976651,11440.722066410903,8974.589549377932,8856.532359531475,1320.2646537457547,1450.6447563903896,8483.652028927178,758.2624397274243,6405.0862670558245,1686.9972378303632,4776.849508344466,7091.013282629459,0.0,11203.776982156216,1208.081021303125,9703.333030657157,1439.5482092138095,9087.070338497851
Singapore,10851.910515136355,10733.468770816131,15337.95743554284,6602.656355080543,16406.788402890306,4658.7421490548095,19741.898527938298,9918.506924402502,11388.536421606474,16618.49270531035,10495.190770466836,13931.558974742165,9707.99421557027,14807.53276720281,4134.713249648732,11203.776982156216,0.0,10384.142142498336,5219.121646285527,10218.694154817931,3420.0201465031346
Switzerland,748.8425854767692,436.2321632617595,6284.8165283518565,3828.5869189045384,11831.414624302368,8884.188377358198,9719.077417380355,752.3342172819056,1153.7605178837239,9644.329938226845,630.8488661475379,7604.615846145461,685.1875194042585,5960.383549700095,6252.836560463562,1208.081021303125,10384.142142498336,0.0,9770.915136679676,231.64072168243808,8733.225010689925
Japan,9672.533853094386,9822.501484971841,10982.630779767369,7709.4172488479035,17258.760878469537,1161.9786849306208,14533.821383111343,9021.795967393084,10871.820800611855,11407.88999543989,9399.021662847661,8909.150105683315,9226.444091160876,10524.29818346962,5845.712947010928,9703.333030657157,5219.121646285527,9770.915136679676,0.0,9775.263147723954,2392.4513402371153
Italy,979.282953413215,666.4885429295485,6510.791490559343,3643.058081452331,11909.037601853794,8861.740960123192,9892.169611564985,810.9909436104205,1238.8544408270368,9869.578328963697,830.8458301067011,7833.484136589102,579.1824952412283,6189.691820253164,6093.586889319174,1439.5482092138095,10218.694154817931,231.64072168243808,9775.263147723954,0.0,8660.598273157848
China,8894.725892490673,8928.347213691339,12061.342361413797,5795.639250073285,19456.30993938621,1400.5441874380074,16383.125771597215,8052.123165005855,9886.210489949355,13421.235125858742,8557.602478681049,10520.961541491772,8081.448480502912,11539.867110702662,3584.02176015641,9087.070338497851,3420.0201465031346,8733.225010689925,2392.4513402371153,8660.598273157848,0.0
